harm_subcategory,stakeholders,freq
Opportunity loss,Business,3
Opportunity loss,General public,3
Opportunity loss,Government/public sector,3
Opportunity loss,Investors,1
Opportunity loss,Workers,2
Over-reliance,General public,1
Over-reliance,Government/public sector,2
Over-reliance,Users,3
Over-reliance,Workers,1
Personal health deterioration,General public,1
Personal health deterioration,Users,3
Personal health deterioration,Vulnerable groups,4
Personality loss,Artists/content creators,2
Personality loss,Users,4
Personality loss,Vulnerable groups,1
Personality rights loss,Artists/content creators,7
Personality rights loss,General public,2
Personality rights loss,Users,7
Political instability,General public,6
Political instability,Government/public sector,8
Political instability,Vulnerable groups,1
Political manipulation,General public,9
Political manipulation,Government/public sector,5
Political manipulation,Users,2
Privacy loss,Artists/content creators,2
Privacy loss,Business,1
Privacy loss,General public,9
Privacy loss,Government/public sector,7
Privacy loss,Subjects,6
Privacy loss,Users,29
Privacy loss,Vulnerable groups,17
Privacy loss,Workers,2
Property damage,Users,1
Property damage,Vulnerable groups,3
Public service delivery deterioration,General public,9
Public service delivery deterioration,Government/public sector,8
Public service delivery deterioration,Users,1
Public service delivery deterioration,Vulnerable groups,1
Public service delivery deterioration,Workers,1
Radicalisation,General public,1
Radicalisation,Government/public sector,1
Radicalisation,Subjects,1
Radicalisation,Vulnerable groups,1
Self-harm,General public,2
Self-harm,Users,2
Self-harm,Vulnerable groups,1
Sexualisation,General public,2
Sexualisation,Users,8
Sexualisation,Vulnerable groups,3
Societal destabilisation,General public,5
Societal destabilisation,Government/public sector,4
Societal destabilisation,Vulnerable groups,2
Societal inequality,Business,1
Societal inequality,General public,7
Societal inequality,Government/public sector,1
Societal inequality,Subjects,2
Societal inequality,Vulnerable groups,4
Societal inequality,Workers,1
Stereotyping,Artists/content creators,1
Stereotyping,Business,1
Stereotyping,General public,6
Stereotyping,Government/public sector,1
Stereotyping,Subjects,1
Stereotyping,Users,5
Stereotyping,Vulnerable groups,7
Violence/armed conflict,General public,1
Violence/armed conflict,Government/public sector,1
Violence/armed conflict,Users,2
Violence/armed conflict,Vulnerable groups,5
